sample_id,pcr_ct,method
V338469829,16.9,"Ct<25, shotgun"
V338469963,19,"Ct<25, shotgun"
V338470961,19,"Ct<25, shotgun"
V338469819,19.6,"Ct<25, shotgun"
V338469797,19.9,"Ct<25, shotgun"
V338470093,20.1,"Ct<25, shotgun"
V338469764,21.9,"Ct<25, shotgun"
V338470120,22.4,"Ct<25, shotgun"
V338471206,23.3,"Ct<25, shotgun"
V338470881,23.5,"Ct<25, shotgun"
V338470156,24.3,"Ct<25, shotgun"
V338470389,24.6,"Ct<25, shotgun"
V338469843,25.1,"Ct<25, shotgun"
V338469636,26,capture
V338469444,26.4,capture
V338471514,26.8,capture
V338470395,28.3,capture
V338460602,29.7,capture
V338469768,29.8,capture
V338469869,29.8,capture
V338469435,30,capture
V338469719,30.1,capture
V338469486,31.1,capture
V338469682,32.4,capture
V338470532,32.8,capture
V338469385,33,capture
V338469996,33.1,capture
V338469199,33.3,capture
V338470365,34.1,capture
V338469862,34.3,capture
V338469761,34.7,capture
V339060381,14.9,ct<25 no capture
V339314081,16.9,ct<25 no capture
V339061054,18,ct<25 no capture
V339060846,20.8,ct<25 no capture
V339060113,21,ct<25 no capture
V339316071,21.1,ct<25 no capture
V339314050,21.2,ct<25 no capture
V339060239,21.5,ct<25 no capture
V339061002,22.1,ct<25 no capture
V339316059,22.2,ct<25 no capture
V339060618,22.3,ct<25 no capture
V339060863,22.5,ct<25 no capture
V339316189,22.9,ct<25 no capture
V339315155,23.7,ct<25 no capture
V339060450,24.4,ct<25 no capture
V339316453,25.5,capture
V339315849,26.3,capture
V339315584,26.4,capture
V339060270,26.7,capture
V339316347,26.7,capture
V339314140,26.9,capture
V339060308,27.1,capture
V339316292,27.8,capture
3JSB49KF249E,28.1,capture
V339060980,28.1,capture
V339060203,28.7,capture
V339060659,28.9,capture
V339059861,28.9,capture
V339061101,29,capture
V339314810,29.5,capture
V339060451,29.5,capture
V339316003,29.7,capture
V339059836,29.9,capture
V339059963,30.1,capture
V339315439,30.3,capture
V339315531,30.4,capture
V339060443,30.4,capture
V339061516,30.4,capture
V339060266,30.4,capture
V339061057,30.8,capture
V339315176,31.2,capture
V339060733,31.3,capture
V339316046,31.6,capture
V339315924,31.9,capture
V339060359,31.9,capture
V339314665,32.5,capture
V339061171,32.8,capture
V339060064,32.9,capture
V339060394,33.3,capture
V339061795,34.7,capture
V339060886,34.9,capture
V339315954,34.9,capture
V339314910,35.6,capture
2H3FP28DU56B,22.1,"Ct<25, shotgun"
2M4SVJPRBP8E,19.5,"Ct<25, shotgun"
2W9DJ6TJX2C3,20.4,"Ct<25, shotgun"
V340177465,26.2,capture
V340177482,29.4,capture
V340177499,24.6,"Ct<25, shotgun"
V340177529,31.7,"Ct<25, shotgun"
9RDKKG8UC2L1,21,"Ct<25, shotgun"
9YSDQLS49PG3,21.5,"Ct<25, shotgun"
65PLQBLG2X36,27.5,"Ct<25, shotgun"
6HAF8SLAZWGE,19.9,"Ct<25, shotgun"
6KACHWYGUELF,22.7,"Ct<25, shotgun"
6NEED5ZBM8EF,34.6,capture
75EHA9UTTCBB,24.2,"Ct<25, shotgun"
7M2WE5AKW2WD,22.5,"Ct<25, shotgun"
7RQ2D55UMFLE,27.8,"Ct<25, shotgun"
8E3RNH9ZWD2B,19.5,"Ct<25, shotgun"
8SSAKEYY2NX6,23.2,"Ct<25, shotgun"
954DU3LB5CX7,26.1,"Ct<25, shotgun"
9F869HKP8AA3,20.1,"Ct<25, shotgun"
4PNYG47N6PM0,22.1,"Ct<25, shotgun"
4BXDCK4RBUTC,35.9,"Ct<25, shotgun"
49ZTXAWLJ8HF,31.3,capture
3N72REWHXWD1,27.2,capture
3MJ7WJYURTN4,22.6,"Ct<25, shotgun"
V340163780,21.2,"Ct<25, shotgun"
V340142303,18.4,"Ct<25, shotgun"
V340142520,25.5,capture
V340162800,24.5,"Ct<25, shotgun"
V340162975,28.8,"Ct<25, shotgun"
V340163175,34.4,capture
V340163214,28.2,capture
V340163432,23.9,"Ct<25, shotgun"
V340163436,21.6,"Ct<25, shotgun"
V340163463,26.9,"Ct<25, shotgun"
V340163548,17.5,"Ct<25, shotgun"
5V2YXWA2RS8F,16.8,"Ct<25, shotgun"
6SE7EAVM2EE7,21.4,"Ct<25, shotgun"
6TZ9PED6HA63,19.9,"Ct<25, shotgun"
6UA48YUTWAZ4,37.1,"Ct<25, shotgun"
6Y5ZR3GAQCU3,33.9,capture
6Z7YVMZ77529,34.9,capture
7DWCNE9HDMQ1,25,"Ct<25, shotgun"
7HW9PSMZG32F,22.6,"Ct<25, shotgun"
7L3GN3YEFGPF,29.7,capture
7X64WQL2Y254,32.4,capture
8F3Q8Q89ZCY6,16.7,"Ct<25, shotgun"
22WW244CK2DA,32.8,"Ct<25, shotgun"
2S56XDXC8FP6,24.1,"Ct<25, shotgun"
3P2BRC4APBD9,12.8,"Ct<25, shotgun"
4FAEJYS5ZVP8,18.8,"Ct<25, shotgun"
4N6ZZNB3VBZ1,30.7,capture
3NMS75VBX771,N/A,N/A
5W9ZGCP6SQ8E,23.1,Ct<25_shotgun
4K4ZULSF7JNE,24.3,Ct<25_shotgun
4JUDDBFUGKE1,31,capture
3PV9K2Z7Y3QE,34.1,capture
3PLJ6DZUYSHF,30.4,capture
3WL677RRCC55,19.1,Ct<25_shotgun
24YEUT2956VD,35.3,capture
3PB58D75H6HE,26.3,capture
2PNQC3AWFQ2C,27.9,capture
63VWX3UJUDLA,26.1,capture
6PYCW4QNWDR7,21.7,Ct<25_shotgun
6RLBL853FT54,29.4,capture
76A36Y6QGYEA,25.1,Ct<25_shotgun
7ZHTX8FCMCF5,34.9,capture
9Y5XYBXWB6J3,35.8,capture
9HL3NNR8PC55,20.3,Ct<25_shotgun
8HKZBX39DPT2,37.2,capture
V340255186,14.4,Ct<25_shotgun
V340255221,16,Ct<25_shotgun
64EEFFQA24T7,30.5,capture
4DBNSUFST6ND,16.7,Ct<25_shotgun
3BKH4ESQZWH6,19,Ct<25_shotgun
V340255862,28.1,capture
V340255581,19.9,Ct<25_shotgun
V340255447,24.9,Ct<25_shotgun
V340255235,15.7,Ct<25_shotgun
7H8M5VDGQ968,20.5,Ct<25_shotgun
5MAPH7XWYF3D,28.4,capture
V340255711,31.7,capture
52NJU4B8JUE1,19.7,Ct<25_shotgun
V340255563,20.5,Ct<25_shotgun
4MRNEDKNT548,18.7,Ct<25_shotgun
V340255480,22.5,Ct<25_shotgun
479AX5VYQL5A,22.7,Ct<25_shotgun
V340257071,24.7,Ct<25_shotgun
8874ELKJPES8,26.8,capture
6RBVQQVPQTH9,22,Ct<25_shotgun
V340255424,21.8,Ct<25_shotgun
V340255374,28.7,capture
7V9WPA4GYJHF,16.4,Ct<25_shotgun
34P58FJDR99B,28.2,capture
V340256231,25.2,Ct<25_shotgun
7JK6NSS5VV82,26.3,capture
V340255358,34.9,capture
V340254974,34.6,capture
V340255798,37.1,capture
63VEW7933ZG3,36,capture
V340255722,28,capture
V340256060,35.6,capture
6C2BM6TYGHJB,20.8,Ct<25_shotgun
V340256245,31.9,capture
V340255703,30.4,capture
V340255834,29.4,capture
V340255952,24.8,Ct<25_shotgun
V340255961,32.2,capture
8RTG3DH8EM53,33.6,capture
V340255245,25,Ct<25_shotgun
V340255319,30,capture
V340256027,25.2,Ct<25_shotgun
V340255962,30.1,capture
V340255977,19.8,Ct<25_shotgun
V340256010,25.4,Ct<25_shotgun
V340256015,21.4,Ct<25_shotgun
V340255332,32.4,capture
V340255539,27.7,capture
V340255389,16.7,Ct<25_shotgun
V340255502,35.6,capture
8KLZDXK3SBFA,28.4,capture
V340195674,33,capture
V340195333,23.1,Ct<25_shotgun
V340195753,25.5,Ct<25_shotgun
V340195793,12.7,Ct<25_shotgun
V340195826,17.7,Ct<25_shotgun
V340195505,20.9,Ct<25_shotgun
V340195842,13.5,Ct<25_shotgun
V340195732,32.4,capture
V340195331,23.3,Ct<25_shotgun
V340195190,26.2,capture
V340195213,26.4,capture
V340257089,23.1,Ct<25_shotgun
679P75QUF8VD,26.1,capture
V340278730,23.3,Ct<25_shotgun
V340278932,31.3,capture
94CDAAN4GV7E,35.5,capture
V340278566,32,capture
7YQ9GM9VFSW8,33.9,capture
57EVS5WA7H3B,21.5,Ct<25_shotgun
V340273885,34.7,capture
6HNTDCXEY2M6,19.3,Ct<25_shotgun
66R6E785YC9E,26.4,capture
V340278123,32.3,capture
5RXRTSS2FWR4,24.9,Ct<25_shotgun
V340278806,32.2,capture
6ZKHFS92XWQD,21.3,Ct<25_shotgun
V340273767,29.6,capture
V340273658,15.8,Ct<25_shotgun
V340278150,31.1,capture
V340269845,23.6,Ct<25_shotgun
V340270274,23.6,Ct<25_shotgun
V340269816,17.6,Ct<25_shotgun
V340270131,27.8,capture
V340269637,18.1,Ct<25_shotgun
V340273412,N/A,N/A
V340278513,27.9,capture
V340274108,22.9,Ct<25_shotgun
V340301792,19.2,Ct<25_shotgun
V340273760,21.3,Ct<25_shotgun
V340301153,27.8,capture
V340278145,17.5,Ct<25_shotgun
V340303342,20.9,Ct<25_shotgun
V340301397,22.5,Ct<25_shotgun
V340278207,21.2,Ct<25_shotgun
V340274190,27.2,capture
V340303141,19,Ct<25_shotgun
V340278484,18.7,Ct<25_shotgun
V340301913,18.3,Ct<25_shotgun
V340302588,19.5,Ct<25_shotgun
V340301143,32.9,capture
V340278067,17.4,Ct<25_shotgun
V340278400,28.1,capture
V340278533,23.6,Ct<25_shotgun
V340278143,27.2,capture
V340302247,29.1,capture
V340301785,32.2,capture
V340300494,30.3,capture
V340278005,21.9,Ct<25_shotgun
V340278474,29.1,capture
V340278446,15.8,Ct<25_shotgun
V340300803,22.9,Ct<25_shotgun
V340300556,27.7,capture
V340269664,29.7,capture
82A6YGWR6CDD,31.4,capture
"V340322741,V340324168,V340324586,V340324607",29.4,capture
"V340324294,V340324150,V340323353,V340324680",35.4,capture
"V340324314,V340324390,V340323874,V340324744",23.5,Ct<25_shotgun
"V340324382,V340324249,V340323643,V340324752",19.9,Ct<25_shotgun
"V340324401,V340324298,V340323770,V340324799",34.4,capture
"V340323677,V340324303,V340323880,V340324695",36.4,capture
